Date,Channel,Sessions,Users,EngagementTime,PagesPerSession,Hour,SessionID,EngagedSession,1. Trends in Sessions and Users Over Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Referral,1,2,75.48887829,2.2,9,S0034,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0090,1,,,,,,16,16,21,29,21,18,,105,,,,,,,,,,
09-05-2025,Organic,4,2,486.8587739,6.2,9,S0035,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0097,1,,,,,,17,26,29,25,12,16,,108,,,,,,,,,,
02-06-2025,Email,3,1,569.1359353,5.5,19,S0036,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0102,1,,,,,,18,18,24,15,15,20,,92,,,,,,,,,,
11-05-2025,Email,1,1,52.6667204,2.3,17,S0037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0109,1,,,,,,19,27,18,23,26,9,,103,,,,,,,,,,
12-06-2025,Social,2,3,573.5179723,6.6,23,S0038,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0115,0,,,,,,20,27,9,27,12,32,,107,,,,,,,,,,
26-05-2025,Paid,4,3,318.3201936,3.5,19,S0039,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0124,1,,,,,,21,23,13,36,16,10,,98,,,,,,,,,,
12-05-2025,Organic,1,2,186.74375,5.4,8,S0040,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0131,1,,,,,,22,24,39,27,38,15,,143,,,,,,,,,,
13-06-2025,Paid,3,3,55.34862441,1.7,14,S0041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0140,1,,,,,,23,17,16,16,25,32,,106,,,,,,,,,,
30-04-2025,Organic,1,3,305.3683182,5.1,3,S0042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0146,1,,,,,,(blank),,,,,,,,,,,,,,,,,
29-04-2025,Social,3,3,478.7641712,3.8,7,S0043,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0147,1,,,,,,Grand Total,476,515,530,510,446,,2477,,,,,,,,,,
31-05-2025,Social,2,3,427.1810216,8.4,8,S0044,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0150,1,,,,,,,,,,,,,,,,,,,,,,,
04-06-2025,Email,4,1,39.63334676,1.5,12,S0045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0151,1,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Paid,4,2,53.01208287,4.8,8,S0046,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0157,1,,,,,,,,,,,,,,,,,,,,,,,
08-06-2025,Email,4,3,247.6952368,5.1,3,S0047,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0171,1,,,,,,,,,,,,,,,,,,,,,,,
05-06-2025,Paid,2,1,184.2213915,7.5,16,S0048,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0173,1,,,,,,,,,,,,,,,,,,,,,,,
10-06-2025,Email,3,1,147.1067506,6.2,15,S0049,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0184,1,,,,,,,,,,,,,,,,,,,,,,,
17-04-2025,Referral,2,1,175.7926544,7,14,S0050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0187,1,,,,,,,,,,,,,,,,,,,,,,,
21-05-2025,Referral,4,3,484.0548185,8,2,S0051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0193,1,,,,,,,,,,,,,,,,,,,,,,,
04-06-2025,Referral,2,3,558.2445516,8.8,19,S0052,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0197,0,,,,,,,,,,,,,,,,,,,,,,,
21-04-2025,Referral,2,2,249.0105898,3.8,4,S0053,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0201,1,,,,,,,,,,,,,,,,,,,,,,,
05-05-2025,Organic,2,3,544.6054913,5.8,22,S0054,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0208,1,,,,,,,,,,,,,,,,,,,,,,,
23-04-2025,Referral,3,3,199.6824637,8.6,4,S0055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0212,1,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Social,1,1,291.0978219,9.9,19,S0056,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0221,1,,,,,,,,,,,,,,,,,,,,,,,
02-05-2025,Social,1,2,143.3571087,9,14,S0057,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0224,1,,,,,,,,,,,,,,,,,,,,,,,
18-04-2025,Organic,2,3,387.8808649,4.3,17,S0058,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0227,1,,,,,,,,,,,,,,,,,,,,,,,
09-05-2025,Referral,1,3,587.598858,2.8,14,S0059,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0228,1,,,,,,,,,,,,,,,,,,,,,,,
13-06-2025,Referral,1,1,366.0609267,5.4,1,S0060,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0229,1,,,,,,,,,,,,,,,,,,,,,,,
28-04-2025,Referral,2,1,221.1103096,7.7,12,S0061,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0235,1,,,,,,,,,,,,,,,,,,,,,,,
03-06-2025,Email,2,3,392.2122931,5.4,3,S0062,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0240,1,,,,,,,,,,,,,,,,,,,,,,,
11-06-2025,Paid,4,2,82.52320029,5.3,9,S0063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0247,1,,,,,,,,,,,,,,,,,,,,,,,
23-04-2025,Email,1,2,534.3088574,8.5,12,S0064,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0254,1,,,,,,,,,,,,,,,,,,,,,,,
10-05-2025,Paid,3,1,306.819531,4.3,9,S0065,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0259,0,,,,,,,,,,,,,,,,,,,,,,,
06-06-2025,Referral,2,1,275.1163478,8.7,8,S0066,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0262,1,,,,,,,,,,,,,,,,,,,,,,,
16-04-2025,Referral,4,3,355.6602252,4.7,7,S0067,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0263,0,,,,,,,,,,,,,,,,,,,,,,,
04-05-2025,Email,3,1,378.622479,4,2,S0068,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0269,1,,,,,,,,,,,,,,,,,,,,,,,
12-05-2025,Email,1,3,52.34772567,5.1,15,S0069,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0273,1,,,,,,,,,,,,,,,,,,,,,,,
31-05-2025,Paid,4,2,412.7441605,7.9,13,S0070,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0275,1,,,,,,,,,,,,,,,,,,,,,,,
13-06-2025,Social,2,2,152.7396914,2.1,8,S0071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0277,1,,,,,,,,,,,,,,,,,,,,,,,
21-04-2025,Paid,3,3,431.2320532,2.8,20,S0072,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0278,1,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Email,2,1,495.2955287,9.6,10,S0073,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0279,0,,,,,,,,,,,,,,,,,,,,,,,
22-04-2025,Email,1,2,484.3355195,2.6,2,S0074,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0282,1,,,,,,,,,,,,,,,,,,,,,,,
31-05-2025,Organic,3,1,335.9755708,6.1,4,S0075,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0292,1,,,,,,,,,,,,,,,,,,,,,,,
19-05-2025,Email,1,2,316.9002365,6.2,9,S0076,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0300,0,,,,,,,,,,,,,,,,,,,,,,,
28-04-2025,Organic,1,3,94.29681719,5.4,12,S0077,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0310,1,,,,,,,,,,,,,,,,,,,,,,,
01-05-2025,Social,4,3,467.4542287,6.8,3,S0078,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0311,1,,,,,,,,,,,,,,,,,,,,,,,
20-05-2025,Paid,2,3,170.1315345,3.1,23,S0079,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0318,1,,,,,,,,,,,,,,,,,,,,,,,
03-06-2025,Paid,3,2,303.0502995,6,12,S0080,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0322,1,,,,,,,,,,,,,,,,,,,,,,,
24-05-2025,Organic,1,1,177.7217148,4.3,11,S0081,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0323,1,,,,,,,,,,,,,,,,,,,,,,,
18-04-2025,Paid,1,1,88.95873417,7,4,S0082,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0329,1,,,,,,,,,,,,,,,,,,,,,,,
16-04-2025,Email,3,1,381.4390412,2.3,9,S0083,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0331,1,,,,,,,,,,,,,,,,,,,,,,,
20-04-2025,Referral,1,2,42.05590055,6.1,23,S0084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0336,1,,,,,,,,,,,,,,,,,,,,,,,
07-06-2025,Organic,4,2,451.7006881,2.7,8,S0085,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0357,1,,,,,,,,,,,,,,,,,,,,,,,
26-05-2025,Paid,4,2,197.3762092,3.5,19,S0086,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0360,1,,,,,,,,,,,,,,,,,,,,,,,
18-04-2025,Organic,4,2,10.07946887,3,6,S0087,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0365,1,,,,,,,,,,,,,,,,,,,,,,,
07-06-2025,Organic,4,2,311.5661921,2.6,1,S0088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0373,1,,,,,,,,,,,,,,,,,,,,,,,
13-05-2025,Referral,1,1,37.64262603,8.4,21,S0089,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0376,1,,,,,,,,,,,,,,,,,,,,,,,
02-05-2025,Email,3,2,172.9400391,3.6,23,S0090,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0380,1,,,,,,,,,,,,,,,,,,,,,,,
10-05-2025,Organic,3,2,427.1161276,9.3,22,S0091,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0382,0,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Paid,3,1,46.98687676,9.7,6,S0092,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0383,1,,,,,,,,,,,,,,,,,,,,,,,
18-05-2025,Social,3,2,505.2097105,6.1,7,S0093,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0396,1,,,,,,,,,,,,,,,,,,,,,,,
24-04-2025,Organic,2,1,12.25375437,2.3,6,S0094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0406,1,,,,,,,,,,,,,,,,,,,,,,,
20-05-2025,Organic,3,1,155.6260828,4.4,20,S0095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0411,1,,,,,,,,,,,,,,,,,,,,,,,
28-04-2025,Referral,2,3,447.1333931,8.2,22,S0096,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0413,1,,,,,,,,,,,,,,,,,,,,,,,
15-05-2025,Email,2,3,196.5993883,4.3,13,S0097,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0423,1,,,,,,,,,,,,,,,,,,,,,,,
01-06-2025,Social,4,3,70.11650896,1.8,18,S0098,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0424,1,,,,,,,,,,,,,,,,,,,,,,,
29-04-2025,Paid,2,3,222.5380121,6,4,S0099,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0428,1,,,,,,,,,,,,,,,,,,,,,,,
22-04-2025,Social,1,2,169.532039,8.6,22,S0100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0430,1,,,,,,,,,,,,,,,,,,,,,,,
28-04-2025,Paid,2,3,507.2000223,8.2,17,S0101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0433,1,,,,,,,,,,,,,,,,,,,,,,,
07-05-2025,Email,4,1,194.8752714,2.6,19,S0102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0438,1,,,,,,,,,,,,,,,,,,,,,,,
13-06-2025,Paid,2,2,475.4701583,7.1,11,S0103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0446,1,,,,,,,,,,,,,,,,,,,,,,,
10-06-2025,Referral,1,3,536.2045654,3,22,S0104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0447,1,,,,,,,,,,,,,,,,,,,,,,,
24-05-2025,Referral,1,1,265.9522776,3,16,S0105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0450,1,,,,,,,,,,,,,,,,,,,,,,,
05-05-2025,Referral,1,2,546.8664549,8.9,12,S0106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0465,1,,,,,,,,,,,,,,,,,,,,,,,
30-04-2025,Referral,4,2,232.6176518,3.2,1,S0107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0472,1,,,,,,,,,,,,,,,,,,,,,,,
29-05-2025,Social,4,3,578.8062657,3.4,12,S0108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0473,1,,,,,,,,,,,,,,,,,,,,,,,
02-05-2025,Email,3,2,62.68081947,1,6,S0109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0475,1,,,,,,,,,,,,,,,,,,,,,,,
31-05-2025,Paid,4,1,415.3413672,8.8,9,S0110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0478,1,,,,,,,,,,,,,,,,,,,,,,,
06-06-2025,Paid,1,2,301.3502839,8.1,22,S0111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0484,1,,,,,,,,,,,,,,,,,,,,,,,
08-05-2025,Referral,1,1,238.7127952,6.6,5,S0112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0488,1,,,,,,,,,,,,,,,,,,,,,,,
10-05-2025,Referral,4,2,383.3000085,7.8,2,S0113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0490,0,,,,,,,,,,,,,,,,,,,,,,,
09-05-2025,Organic,2,3,425.2756841,2.4,2,S0114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0496,1,,,,,,,,,,,,,,,,,,,,,,,
13-06-2025,Email,4,1,12.57432909,5.1,17,S0115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0498,1,,,,,,,,,,,,,,,,,,,,,,,
13-06-2025,Social,4,2,108.5023224,4.2,10,S0116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0500,1,,,,,,,,,,,,,,,,,,,,,,,
13-06-2025,Paid,1,2,430.6971699,1.8,21,S0117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0503,1,,,,,,,,,,,,,,,,,,,,,,,
29-05-2025,Organic,3,2,403.167394,5.4,19,S0118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0511,1,,,,,,,,,,,,,,,,,,,,,,,
25-05-2025,Organic,1,1,579.968028,9.3,4,S0119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0515,1,,,,,,,,,,,,,,,,,,,,,,,
13-05-2025,Paid,3,1,459.0122962,1.4,18,S0120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0516,1,,,,,,,,,,,,,,,,,,,,,,,
29-04-2025,Social,1,1,570.9558976,3.6,21,S0121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0524,1,,,,,,,,,,,,,,,,,,,,,,,
29-05-2025,Organic,4,3,424.4988959,2.9,18,S0122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0535,1,,,,,,,,,,,,,,,,,,,,,,,
15-04-2025,Organic,1,3,185.8508031,3.1,14,S0123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0541,0,,,,,,,,,,,,,,,,,,,,,,,
09-05-2025,Email,1,1,72.16530413,9.2,15,S0124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0547,1,,,,,,,,,,,,,,,,,,,,,,,
21-04-2025,Social,1,2,471.2760794,5.2,23,S0125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0554,1,,,,,,,,,,,,,,,,,,,,,,,
23-04-2025,Organic,4,3,390.0480407,5.2,8,S0126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0561,1,,,,,,,,,,,,,,,,,,,,,,,
08-05-2025,Social,4,1,38.42974731,7.8,3,S0127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0566,1,,,,,,,,,,,,,,,,,,,,,,,
15-04-2025,Paid,4,2,222.4297749,2.4,14,S0128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0573,1,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Referral,4,3,574.5118911,5.4,11,S0129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0575,1,,,,,,,,,,,,,,,,,,,,,,,
22-04-2025,Organic,3,2,305.236676,4.9,22,S0130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0583,1,,,,,,,,,,,,,,,,,,,,,,,
08-05-2025,Email,3,2,265.3101903,6.4,2,S0131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0588,1,,,,,,,,,,,,,,,,,,,,,,,
25-04-2025,Paid,2,2,280.042767,10,22,S0132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0590,0,,,,,,,,,,,,,,,,,,,,,,,
04-06-2025,Social,4,2,133.2408072,7.9,13,S0133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0595,1,,,,,,,,,,,,,,,,,,,,,,,
01-05-2025,Paid,3,3,227.5372308,4.6,16,S0134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0606,1,,,,,,,,,,,,,,,,,,,,,,,
22-04-2025,Organic,1,3,228.189821,8.4,18,S0135,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0609,1,,,,,,,,,,,,,,,,,,,,,,,
19-05-2025,Social,4,3,40.88946191,2.5,5,S0136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0615,1,,,,,,,,,,,,,,,,,,,,,,,
19-05-2025,Referral,2,1,462.8649008,1.3,3,S0137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0617,1,,,,,,,,,,,,,,,,,,,,,,,
17-05-2025,Paid,2,3,255.7376148,2.8,6,S0138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0620,1,,,,,,,,,,,,,,,,,,,,,,,
12-06-2025,Organic,2,2,495.0861332,4.1,18,S0139,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0628,1,,,,,,,,,,,,,,,,,,,,,,,
19-04-2025,Email,1,3,511.7053207,5.6,16,S0140,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0629,1,,,,,,,,,,,,,,,,,,,,,,,
26-05-2025,Social,3,2,135.0764923,6.5,15,S0141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0634,1,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Paid,1,1,397.8385545,9.2,14,S0142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0636,1,,,,,,,,,,,,,,,,,,,,,,,
11-06-2025,Paid,4,2,288.6462645,5.6,21,S0143,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0637,1,,,,,,,,,,,,,,,,,,,,,,,
25-05-2025,Referral,2,2,529.2924754,5.5,7,S0144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0645,1,,,,,,,,,,,,,,,,,,,,,,,
12-05-2025,Referral,1,2,137.2870007,1.5,18,S0145,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0649,1,,,,,,,,,,,,,,,,,,,,,,,
21-04-2025,Email,1,1,409.9097882,1.3,7,S0146,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0653,1,,,,,,,,,,,,,,,,,,,,,,,
23-04-2025,Email,3,3,368.5737521,6,17,S0147,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0656,1,,,,,,,,,,,,,,,,,,,,,,,
